game_type,map_type,win_point
2,Savage_Main,"[[160913.5625, 146678.390625], [161026.59375, 146566.046875]]"
2,Erangel_Main,"[[577484.125, 489168.09375]]"
2,Savage_Main,"[[186657.75, 194527.453125], [186734.171875, 193849.296875]]"
4,Savage_Main,"[[270015.90625, 109568.015625], [270027.34375, 108687.7578125], [269504.28125, 108431.9140625]]"
1,Savage_Main,"[[222697.640625, 315772.0625]]"
4,Desert_Main,"[[275370.375, 432266.59375], [276090.78125, 432096.84375]]"
4,Savage_Main,"[[92782.0546875, 115353.1640625], [92361.015625, 114920.2265625], [92239.3984375, 114804.0859375]]"
4,Erangel_Main,"[[442155.34375, 264018.4375], [441670.875, 265394.71875]]"
4,Erangel_Main,"[[385010.625, 324063.875], [385292.5625, 322990.8125], [385365.84375, 323690.40625]]"
2,Savage_Main,"[[228864.6875, 261637.671875]]"
2,Erangel_Main,"[[282069.8125, 366592.46875], [281859.21875, 366530.625]]"
1,Range_Main,[]
4,Erangel_Main,"[[352088.4375, 717226.8125], [346404.4375, 711034], [347632.71875, 718203.6875], [346434.90625, 709663.5625]]"
2,Erangel_Main,"[[442103, 594082.4375]]"
2,Savage_Main,"[[52020.77734375, 187535.0625], [52774.76953125, 187387.234375]]"
4,Desert_Main,"[[546297.375, 341097.15625], [548545.5, 343614.15625], [544930.625, 342170.5]]"
2,Erangel_Main,"[[386556.5625, 473350.3125], [385894.65625, 473500.375]]"
2,Savage_Main,"[[116555.1484375, 158114.75], [120943.1171875, 159564.3125]]"
1,Range_Main,"[[149280.5, 139538.609375], [148339.65625, 150978.734375]]"
2,Savage_Main,"[[74444.4296875, 194843.3125], [74035.9921875, 195218.890625]]"
2,Savage_Main,"[[155213.5, 179795.375]]"
2,Erangel_Main,"[[262292.84375, 182731.890625]]"
1,Erangel_Main,"[[166632.90625, 400075.1875]]"
4,Erangel_Main,"[[313571.71875, 189302.453125], [319661.40625, 187141.953125], [317671.5, 188919.078125]]"
4,Erangel_Main,"[[662660, 300962.1875]]"
1,Desert_Main,"[[80826.359375, 576456.4375]]"
2,Desert_Main,"[[414038.40625, 425989.71875], [414141.59375, 425896.84375]]"
